,Code,Date,contact_tracing,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,debt_relief,income_support,testing_policy,international_travel_controls,restrictions_internal_movements,close_public_transport,public_information_campaigns,facial_coverings,stay_home_requirements,restriction_gatherings,cancel_public_events,workplace_closures,school_closures,holiday,temp,prcp,doctors_per_1000,nurses_per_1000,beds_per_1000,number_of_arrivals,urban_population,total_vaccinations_per_100,youth_unemployment,life_expectancy,%df_population_gr_65,UN Population Division (Median Age) (2017),excess_mortality_week_n,infections_value,month,average_deaths_2015_2019_all_ages,deaths_week_n,population,accumulated,reproduction_rate_week_n-1,reproduction_rate
649,COL,2020-07-26,2.0,-48.714285714285715,-25.653142857142857,19.02042857142857,-49.081714285714284,-40.61228571428571,-29.93857142857143,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.2857142857142856,3.0,0.0,25.407679738562077,0.16124999999999992,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,47.17,76.37,7,4469.400000000001,2108.2159800000004,50339443.0,0.020360839004515803,1.1942857142857142,1.2671428571428573
650,COL,2020-08-02,2.0,-54.95914285714286,-31.265428571428572,21.12257142857143,-57.08157142857143,-46.836571428571425,-36.06128571428572,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,26.056384742951906,0.06902985074626866,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,62.55,83.35,8,5473.6,3423.7368,50339443.0,0.027162139527447695,1.2671428571428573,1.272857142857143
651,COL,2020-08-09,2.0,-57.38785714285713,-34.63242857142857,21.91842857142857,-59.67357142857143,-49.57142857142857,-38.14271428571429,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,25.199603174603176,0.2239999999999999,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,76.37,75.56,8,5473.6,4180.18832,50339443.0,0.03546614146088188,1.272857142857143,1.1942857142857142
652,COL,2020-08-16,2.0,-53.51014285714285,-29.530571428571427,20.65285714285714,-56.87742857142858,-45.020428571428575,-35.46928571428571,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,26.484350547730827,0.1268309859154929,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,83.35,71.71,8,5473.6,4562.2456,50339443.0,0.044529105467058905,1.1942857142857142,1.167142857142857
653,COL,2020-08-23,2.0,-54.32642857142857,-30.653,21.06142857142857,-57.204,-44.714285714285715,-38.61228571428571,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,26.57561728395061,0.14354166666666665,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,75.56,63.15,8,5473.6,4135.85216,50339443.0,0.05274503300523211,1.167142857142857,1.112857142857143
654,COL,2020-08-30,2.0,-53.18385714285714,-30.448857142857143,19.93885714285714,-54.93871428571429,-44.26528571428572,-35.83671428571429,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,25.16626984126984,0.18964285714285717,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,71.71,54.21,8,5473.6,3925.11856,50339443.0,0.06054233533136233,1.112857142857143,1.0471428571428574
655,COL,2020-09-06,2.0,-52.979714285714294,-29.407999999999998,19.22457142857143,-53.591714285714296,-44.081714285714284,-33.67342857142857,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,24.926573426573437,0.2823076923076922,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,63.15,49.5,9,4322.200000000001,2729.4693000000007,50339443.0,0.06596446385988022,1.0471428571428574,0.9557142857142856
656,COL,2020-09-13,1.4285714285714286,-48.550999999999995,-24.91842857142857,17.285714285714285,-49.918285714285716,-39.65314285714286,-28.408142857142856,2.0,1.0,2.0,4.0,1.7142857142857142,1.0,2.0,3.142857142857143,1.7142857142857142,3.7142857142857144,2.0,2.4285714285714284,3.0,0.0,24.927609427609426,0.15424242424242426,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,54.21,46.75,9,4322.200000000001,2343.0646200000006,50339443.0,0.07061899414540602,0.9557142857142856,0.902857142857143
657,COL,2020-09-20,0.0,-42.204,-17.387857142857143,15.203999999999999,-44.55114285714286,-33.67357142857143,-26.673571428571428,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,25.28644602048858,0.1907801418439716,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,49.5,41.05,9,4322.200000000001,2139.4890000000005,50339443.0,0.07486911864519438,0.902857142857143,0.8842857142857142
658,COL,2020-09-27,0.0,-40.714285714285715,-17.959285714285716,14.449,-42.57142857142857,-31.387714285714285,-25.673714285714286,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,25.753174603174603,0.08414285714285709,2.18,1.33,1.71,3317000.0,80.446,,20.0100002288818,77.109,8.76583000729666,32.200001,46.75,43.41,9,4322.200000000001,2020.6285000000005,50339443.0,0.07888312511721673,0.8842857142857142,0.9071428571428571
